Nome,Endereço,Descrição,Imagem,Latitude,Longitude
Marisqueira do Pedro,"Rua da Montanha, 31 - São José","O ""Marisqueira do Pedro"" é um restaurante que serve pratos de frutos do mar frescos em um ambiente descontraído e acolhedor. Com uma seleção de vinhos e cervejas, é uma ótima opção para um jantar romântico ou uma refeição em família.",static/img/restaurante_31.jpg,-3.056980685121642,-60.03602737338592
Bistrô do Chef,"Rua do Campo, 44 - Bom Jesus","O ""Bistrô do Chef"" é um restaurante que oferece pratos sofisticados e criativos em um ambiente elegante e refinado. Com uma seleção de vinhos de qualidade e uma decoração moderna, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_32.jpg,-3.1053703758207942,-60.009484622090795
Cantinho da Amizade,"Rua do Desejo, 58 - São Francisco","O ""Cantinho da Amizade"" é um restaurante que serve pratos típicos da culinária portuguesa, como a açorda de camarão e o frango à cafreal, em um ambiente rústico e acolhedor. Com uma seleção de vinhos portugueses e uma decoração que remete às aldeias do país, é uma excelente opção para um jantar em família.",static/img/restaurante_33.jpg,-3.135955288535614,-60.00875622895502
Diner Americano,"Rua das Árvores, 42 - Itapuã","O ""Diner Americano"" é um restaurante que oferece pratos típicos da culinária americana, como hambúrgueres e hot dogs, em um ambiente descontraído e nostálgico. Com uma seleção de milkshakes e sobremesas típicas, é uma ótima opção para um almoço com amigos ou uma refeição em família.",static/img/restaurante_34.jpg,-3.1236727772792254,-60.002660527772804
La Dolce Vita,"Rua do Tesouro, 11 - Itapuã","O ""La Dolce Vita"" é um restaurante que serve pratos típicos da culinária italiana, como risotos e massas frescas, em um ambiente elegante e sofisticado. Com uma seleção de vinhos italianos e uma decoração inspirada na Toscana, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_35.jpg,-3.0944644205876433,-60.0382759233077
La Parrilla,"Rua das Maravilhas, 7 - São Sebastião","O ""La Parrilla"" é um restaurante que oferece churrasco argentino em um ambiente descontraído e acolhedor. Com uma seleção de cortes nobres de carne e um rodízio com mais de 20 opções de pratos quentes e frios, é uma ótima opção para um jantar com amigos ou uma refeição em família.",static/img/restaurante_36.jpg,-3.087088901602898,-60.035546713881054
Le Bistrô,"Rua das Árvores, 42 - Itapuã","O ""Le Bistrô"" é um restaurante francês que serve pratos sofisticados e criativos em um ambiente elegante e refinado. Com uma seleção de vinhos franceses e uma decoração inspirada em Paris, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_37.jpg,-3.1289803365910784,-60.06927410052403
Casa do Lombo,"Rua das Estrelas, 46 - Cabula","O ""Casa do Lombo"" é um restaurante que serve pratos típicos da culinária portuguesa, como o famoso lombo de porco assado, em um ambiente rústico e acolhedor. Com uma seleção de vinhos portugueses e uma decoração que remete às casas de campo do país, é uma ótima opção para um jantar em família.",static/img/restaurante_38.jpg,-3.115659554975086,-60.04229831638835
Taste of India,"Rua do Tesouro, 33 - Itapuã","O ""Taste of India"" é um restaurante que serve pratos típicos da culinária indiana, como o curry de cordeiro e o biryani, em um ambiente descontraído e aconchegante. Com uma seleção de chás indianos e uma decoração que remete às cores e texturas da Índia, é uma ótima opção para um jantar com amigos.",static/img/restaurante_39.jpg,-3.1319227047702034,-60.02045312253617
Sabor de México,"Rua das Árvores, 42 - Itapuã","O ""Sabor de México"" é um restaurante que oferece pratos típicos da culinária mexicana, como tacos e burritos, em um ambiente descontraído e colorido. Com uma seleção de tequilas e uma decoração que remete às festas mexicanas, é uma ótima opção para um jantar animado com amigos.",static/img/restaurante_40.jpg,-3.087134159136892,-60.023469352238585
Oriental Palace,"Rua do Tesouro, 33 - Itapuã","O ""Oriental Palace"" é um restaurante que serve pratos típicos da culinária asiática, como o padang e o pho, em um ambiente moderno e sofisticado. Com uma seleção de vinhos asiáticos e uma decoração que remete aos palácios orientais, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_41.jpg,-3.1062690319837185,-60.066741934581145
La Cucina,"Rua do Tesouro, 97 - Pelourinho","O ""La Cucina"" é um restaurante italiano que serve pratos típicos da culinária do sul da Itália, como o gnocchi alla sorrentina e a parmigiana, em um ambiente aconchegante e informal. Com uma seleção de vinhos italianos e uma decoração que remete às casas de campo da região, é uma ótima opção para um jantar descontraído com amigos.",static/img/restaurante_42.jpg,-3.112308674942692,-59.99772980470271
Bar do Peixe,"Rua do Tesouro, 45 - Graça","O ""Bar do Peixe"" é um restaurante que serve pratos típicos da culinária litorânea, como moquecas e peixadas, em um ambiente descontraído e informal. Com uma seleção de cervejas artesanais e uma decoração que remete à praia, é uma ótima opção para um almoço em família ou uma refeição com amigos.",static/img/restaurante_43.jpg,-3.097406983309578,-60.05086682397675
Hummus House,"Rua do Lago, 26 - Barra","O ""Hummus House"" é um restaurante que oferece pratos típicos da culinária árabe, como o hummus e o falafel, em um ambiente aconchegante e descontraído. Com uma seleção de chás árabes e uma decoração que remete às casas de chá do Oriente Médio, é uma ótima opção para um jantar com amigos.",static/img/restaurante_44.jpg,-3.124232300618242,-60.05261628473077
Brasa Churrascaria,"Rua da Esperança, 43 - Barra","O ""Brasa Churrascaria"" é um restaurante que oferece churrasco brasileiro em um ambiente descontraído e acolhedor. Com uma seleção de cortes nobres de carne e um buffet com mais de 20 opções de acompanhamentos, é uma ótima opção para um almoço ou jantar em família.",static/img/restaurante_45.jpg,-3.0756865947397674,-60.026383221920916
Green Kitchen,"Rua do Paraíso, 47 - Barra","O ""Green Kitchen"" é um restaurante que serve pratos vegetarianos e veganos em um ambiente moderno e descontraído. Com uma seleção de sucos e smoothies naturais e uma decoração que remete à natureza, é uma ótima opção para quem busca opções saudáveis e sustentáveis.",static/img/restaurante_46.jpg,-3.098705630294246,-60.02871448640855
